Supplier,Supplier Part,Manufacturer,Manufacturer Part,Value,Footprint,Designator,Comment,Quantity,No.
,,,,~15pF,C0603,"C1,C2",~15pF,2,1
,,,,100nF,C0603,"C3,C5,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C36,C45,C53,C59,C60,C73,C74,C77",100nF,21,2
,,,,10uF,C0603,"C6,C7,C19,C20,C21,C22,C23,C24,C25,C71",10uF,10,3
,,,,0.1uF,C0603,"C26,C32",0.1uF,2,4
,,,,1uF,C0603,"C27,C29,C37,C46,C47,C78,C79",1uF,7,5
,,,,47nF,C0603,"C28,C48,C72,C75",47nF,4,6
,,,,22uF,C0603,"C30,C67,C68,C69",22uF,4,7
,,,,22pF,C0603,"C33,C34,C35",22pF,3,8
,,,,~6pF,C0603,"C43,C44",~6pF,2,9
,,,,NC,C0603,"C49,C54,C57,C58,C65,C66",NC,6,10
,,,,100pF,C0603,C50,100pF,1,11
,,,,~12pF,C0603,"C51,C52",~12pF,2,12
,,,,0.8pF,C0603,C55,0.8pF,1,13
,,,,0.5pF,C0603,C56,0.5pF,1,14
,,,,4.7uF,C0603,"C61,C62,C63,C64",4.7uF,4,15
,,,,2.2uF,C0603,C76,2.2uF,1,16
LCSC,C431092,AMASS(艾迈斯),XT30PW-M30.G.Y,,CONN-TH_XT30PW-M,CN1,XT30PW-M30.G.Y,1,17
LCSC,C19077524,R+O(宏嘉诚),SMAJ5.0CA,,SMA_L4.3-W2.6-LS5.0-BI,D1,SMAJ5.0CA,1,18
,C541850,,,,HDR-TH_3P-P2.54-V-F,H1,HDR-F_2.54_1x3P,1,19
,C2684744,,,,HDR-TH_10P-P2.54-V-F,H2,HDR-F_2.54_1x10P,1,20
,C49661,,,,HDR-TH_2P-P2.54-V-F,H4,HDR-F_2.54_1x2P,1,21
,C358687,,,,HDR-TH_5P-P2.54-V-M,H5,HDR-M_2.54_1x5P,1,22
,,,,3.3uH,L0603,L1,3.3uH,1,23
,,,,10uH,L0603,"L2,L4",10uH,2,24
,,,,15nH,L0603,L3,15nH,1,25
,,,,0Ω,L0603,L6,0Ω,1,26
LCSC,C127620,Walsin(华新科),RFECA3216060A1T,,ANT-SMD_L3.1-W1.6,L7,RFECA3216060A1T,1,27
,,,,1uH,L0603,L8,1uH,1,28
LCSC,C82942,MICRONE(南京微盟),ME6211C33M5G-N,,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,LDO1,ME6211C33M5G-N,1,29
LCSC,C385311,EVERLIGHT(亿光),PT2559B/L2/H2(A5),,OPTO-TH_3P_PT2559B,LED1,PT2559B/L2/H2(A5),1,30
,C15127,,,,AO3401A_SOT-23-3,Q1,AO3401A_P,1,31
,,,,200R,R0603,R1,200R,1,32
,,,,27R,R0603,"R2,R7,R8",27R,3,33
,,,,1K,R0603,"R3,R4,R5,R6,R40,R45",1K,6,34
,,,,22,R0603,R9,22,1,35
,,,,5.1K,R0603,"R10,R20,R21",5.1K,3,36
,,,,0,R0603,"R12,R13,R14,R16,R22,R23,R24,R25,R26,R27,R28,R43",0,12,37
,,,,10K,R0603,"R15,R31,R32,R34,R35,R37,R38,R39,R46,R47,R48,R49,R50,R51,R52,R53,R54",10K,17,38
,,,,330,R0603,"R17,R18,R19",330,3,39
,,,,5.1K(NC),R0603,"R29,R30",5.1K(NC),2,40
,,,,330Ω,R0603,R33,330Ω,1,41
,,,,10mohm,R1206,"R41,R44",10mohm,2,42
,,,,82K,R0603,R42,82K,1,43
,,,,,Key_SMD_3x4x2,"SW1,SW2,SW7",Key_SMD_3x4x2,3,44
LCSC,C2906291,SHOU HAN(首韩),3JWD-DBHD-13.5 125,,SW-TH_SHOU-HAN_3JWD-DBHD-13.5,"SW3,SW4,SW5,SW6,SW8,SW9,SW10,SW11,SW12,SW13",3JWD-DBHD-13.5 125,10,45
LCSC,C42415655,Raspberry Pi(树莓派),RP2350B,,QFN-80_L10.0-W10.0-P0.40-TL-EP3.4,U1,RP2350B,1,46
LCSC,C113767,Winbond(华邦),W25Q128JVSIQ,,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,U2,W25Q128JVSIQ,1,47
LCSC,C5333729,Apmemory,APS6404L-3SQR-SN,,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,U3,APS6404L-3SQR-SN,1,48
LCSC,C5447274,TI(德州仪器),DRV8316CRRGFR,,VQFN-40_L7.0-W5.0-P0.50-BL-EP5.7,U4,DRV8316CRRGFR,1,49
LCSC,C499458,ams(艾迈斯半导体),AS5600-ASOT,,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,U5,AS5600-ASOT,1,50
LCSC,C1851953,NORDIC,NRF52840-QIAA-R7,,AQFN-73_L7.0-W7.0-P0.50-BL-EP4.8,U6,NRF52840-QIAA-R7,1,51
LCSC,C142279,EVERLIGHT(亿光),IR908-7C-F,,LED-TH_L4.5-W2.25-P2.54-FD,U7,IR908-7C-F,1,52
LCSC,C669698,INJOINIC(英集芯),IP5330,,QFN-32_L5.0-W5.0-P0.50-TL-EP3.4,U8,IP5330,1,53
LCSC,C80696,Nexperia(安世),"74HC165PW,118",,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,"U9,U10","74HC165PW,118",2,54
,,,,,USB_TYPE-C-16P,USB1,USB_TYPE-C-16P,1,55
LCSC,C9002,YXC(扬兴晶振),X322512MSB4SI,12MHz,CRYSTAL-SMD_4P-L3.2-W2.5-BL,X1,12MHz,1,56
LCSC,C94674,EPSON(爱普生),X1A0001410001,32.768kHz  7pf,FC-135R_L3.2-W1.5,X2,32.768kHz  7pf,1,57
LCSC,C9009,YXC(扬兴晶振),X322532MOB4SI,32MHz,CRYSTAL-SMD_4P-L3.2-W2.5-BL,X3,32MHz,1,58
