位号,所在面,值/型号,封装,X坐标(mm),立创码,处置
C1,TOP,~15pF,C0603,24.765mm,C91703,仓库料
C2,TOP,~15pF,C0603,24.765mm,C91703,仓库料
C3,TOP,100nF,C0603,45.847mm,C14663,仓库料
C5,TOP,100nF,C0603,48.26mm,C14663,仓库料
C6,TOP,10uF,C0603,50.673mm,C19702,仓库料
C7,TOP,10uF,C0603,45.974mm,C19702,仓库料
C8,TOP,100nF,C0603,31.623mm,C14663,仓库料
C9,TOP,100nF,C0603,38.354mm,C14663,仓库料
C10,TOP,100nF,C0603,45.72mm,C14663,仓库料
C11,TOP,100nF,C0603,45.72mm,C14663,仓库料
C12,TOP,100nF,C0603,37.846mm,C14663,仓库料
C13,TOP,100nF,C0603,33.528mm,C14663,仓库料
C14,TOP,100nF,C0603,45.72mm,C14663,仓库料
C15,TOP,100nF,C0603,26.162mm,C14663,仓库料
C16,TOP,100nF,C0603,35.052mm,C14663,仓库料
C17,TOP,100nF,C0603,33.528mm,C14663,仓库料
C18,TOP,100nF,C0603,46.863mm,C14663,仓库料
C19,TOP,10uF,C0603,42.799mm,C19702,仓库料
C20,TOP,10uF,C0603,45.72mm,C19702,仓库料
C21,TOP,10uF,C0603,46.863mm,C19702,仓库料
C22,TOP,10uF,C0603,46.863mm,C19702,仓库料
C23,TOP,10uF,C0603,3.556mm,C19702,仓库料
C24,TOP,10uF,C0603,3.556mm,C19702,仓库料
C25,TOP,10uF,C0603,3.556mm,C19702,仓库料
C26,TOP,0.1uF,C0603,3.556mm,C14663,仓库料
C27,TOP,1uF,C0603,12.319mm,C59782,仓库料
C28,TOP,47nF,C0603,12.319mm,C1622,仓库料
C29,TOP,1uF,C0603,12.7mm,C59782,仓库料
C30,TOP,22uF,C0603,8.636mm,C59461,仓库料
C32,TOP,0.1uF,C0603,7.112mm,C14663,仓库料
C33,BOTTOM,22pF,C0603,25.654mm,C1653,仓库料
C34,BOTTOM,22pF,C0603,25.654mm,C1653,仓库料
C35,BOTTOM,22pF,C0603,25.654mm,C1653,仓库料
C36,BOTTOM,100nF,C0603,9.849mm,C14663,仓库料
C37,BOTTOM,1uF,C0603,9.906mm,C59782,仓库料
C43,TOP,~12pF,C0603,59.436mm,C38523,仓库料
C44,TOP,~12pF,C0603,58.039mm,C38523,仓库料
C45,TOP,100nF,C0603,62.992mm,C14663,仓库料
C46,TOP,1uF,C0603,64.627mm,C59782,仓库料
C47,TOP,1uF,C0603,62.315mm,C59782,仓库料
C48,TOP,47nF,C0603,60.143mm,C1622,仓库料
C49,TOP,NC,C0603,57.643mm,,不贴(DNP/插件)
C50,TOP,100pF,C0603,72.136mm,C1635,仓库料
C51,TOP,~12pF,C0603,65.5mm,C38523,仓库料
C52,TOP,~12pF,C0603,74.5mm,C38523,仓库料
C53,TOP,100nF,C0603,72.136mm,C14663,仓库料
C54,TOP,NC,C0603,74.295mm,,不贴(DNP/插件)
C55,TOP,0.8pF,C0603,71.374mm,C519369,仓库料
C56,TOP,0.5pF,C0603,73.406mm,C5137584,仓库料
C57,TOP,NC,C0603,75.438mm,,不贴(DNP/插件)
C58,TOP,NC,C0603,76.581mm,,不贴(DNP/插件)
C59,TOP,100nF,C0603,76.708mm,C14663,仓库料
C60,TOP,100nF,C0603,74.295mm,C14663,仓库料
C61,TOP,4.7uF,C0603,61.913mm,C99229,仓库料
C62,TOP,4.7uF,C0603,58.166mm,C99229,仓库料
C63,TOP,4.7uF,C0603,59.754mm,C99229,仓库料
C64,TOP,4.7uF,C0603,66.786mm,C99229,仓库料
C65,TOP,NC,C0603,77.47mm,,不贴(DNP/插件)
C66,TOP,NC,C0603,82.677mm,,不贴(DNP/插件)
C67,TOP,22uF,C0603,75.057mm,C59461,仓库料
C68,TOP,22uF,C0603,77.47mm,C59461,仓库料
C69,TOP,22uF,C0603,79.883mm,C59461,仓库料
C71,TOP,10uF,C0603,80.137mm,C19702,仓库料
C72,TOP,47nF,C0603,80.137mm,C1622,仓库料
C73,TOP,100nF,C0603,85.344mm,C14663,仓库料
C74,TOP,100nF,C0603,83.185mm,C14663,仓库料
C75,TOP,47nF,C0603,73.279mm,C1622,仓库料
C76,TOP,2.2uF,C0603,75.311mm,C913904,仓库料
C77,TOP,100nF,C0603,80.137mm,C14663,仓库料
C78,BOTTOM,1uF,C0603,70.104mm,C59782,仓库料
C79,BOTTOM,1uF,C0603,60.96mm,C59782,仓库料
CN1,TOP,XT30PW-M30.G.Y,CONN-TH_XT30PW-M,34.5mm,,不贴(DNP/插件)
D1,TOP,SMAJ5.0CA,SMA_L4.3-W2.6-LS5.0-BI,3.302mm,C19077524,仓库料
H1,TOP,HDR-F_2.54_1x3P,HDR-TH_3P-P2.54-V-F,10.922mm,,不贴(DNP/插件)
H2,TOP,HDR-F_2.54_1x10P,HDR-TH_10P-P2.54-V-F,13.335mm,,不贴(DNP/插件)
H4,TOP,HDR-F_2.54_1x2P,HDR-TH_2P-P2.54-V-F,70.358mm,,不贴(DNP/插件)
H5,TOP,HDR-M_2.54_1x5P,HDR-TH_5P-P2.54-V-M,87.63mm,,不贴(DNP/插件)
L1,TOP,3.3uH,L0603,46.863mm,C574026,仓库料
L2,TOP,10uH,L0603,61.849mm,C395000,仓库料
L3,TOP,15nH,L0603,58.166mm,C23651,仓库料
L4,TOP,10uH,L0603,68.818mm,C395000,仓库料
L6,TOP,0Ω,L0603,80.137mm,C15402,仓库料
L7,TOP,RFECA3216060A1T,ANT-SMD_L3.1-W1.6,86.8mm,C127620,仓库料
L8,TOP,1uH,L0603,80.137mm,C22037,仓库料
LDO1,TOP,ME6211C33M5G-N,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,49.149mm,C82942,仓库料
LED1,TOP,PT2559B/L2/H2(A5),OPTO-TH_3P_PT2559B,3.429mm,,不贴(DNP/插件)
Q1,TOP,AO3401A_P,AO3401A_SOT-23-3,63.373mm,C15127,仓库料
R1,TOP,200R,R0603,46.863mm,C2907010,仓库料
R2,TOP,27R,R0603,46.863mm,C48391806,仓库料
R3,TOP,1K,R0603,52.451mm,C21190,仓库料
R4,TOP,1K,R0603,79.248mm,C21190,仓库料
R5,TOP,1K,R0603,79.248mm,C21190,仓库料
R6,TOP,1K,R0603,79.248mm,C21190,仓库料
R7,TOP,27R,R0603,56.515mm,C48391806,仓库料
R8,TOP,27R,R0603,58.674mm,C48391806,仓库料
R9,TOP,22,R0603,8.636mm,C1203,仓库料
R10,TOP,5.1K,R0603,18.923mm,C23186,仓库料
R12,TOP,0,R0603,15.621mm,C15402,仓库料
R13,TOP,0,R0603,14.732mm,C15402,仓库料
R14,TOP,0,R0603,3.556mm,C15402,仓库料
R15,TOP,10K,R0603,9.017mm,C25804,仓库料
R16,TOP,0,R0603,10.795mm,C15402,仓库料
R17,TOP,330,R0603,29.845mm,C105879,仓库料
R18,TOP,330,R0603,29.845mm,C105879,仓库料
R19,TOP,330,R0603,29.845mm,C105879,仓库料
R20,BOTTOM,5.1K,R0603,11.938mm,C23186,仓库料
R21,BOTTOM,5.1K,R0603,9.906mm,C23186,仓库料
R22,TOP,0,R0603,18.923mm,C15402,仓库料
R23,TOP,0,R0603,18.923mm,C15402,仓库料
R24,TOP,0,R0603,18.923mm,C15402,仓库料
R25,TOP,0,R0603,1.905mm,C15402,仓库料
R26,TOP,0,R0603,4.445mm,C15402,仓库料
R27,TOP,0,R0603,6.985mm,C15402,仓库料
R28,TOP,0,R0603,84.8mm,C15402,仓库料
R29,TOP,5.1K(NC),R0603,50.546mm,,不贴(DNP/插件)
R30,TOP,5.1K(NC),R0603,50.546mm,,不贴(DNP/插件)
R31,TOP,10K,R0603,2.667mm,C25804,仓库料
R32,TOP,10K,R0603,2.54mm,C25804,仓库料
R33,TOP,330Ω,R0603,19.939mm,C23138,仓库料
R34,TOP,10K,R0603,37.719mm,C25804,仓库料
R35,TOP,10K,R0603,67.691mm,C25804,仓库料
R37,TOP,10K,R0603,81.28mm,C25804,仓库料
R38,TOP,10K,R0603,64.897mm,C25804,仓库料
R39,TOP,10K,R0603,49.149mm,C25804,仓库料
R40,TOP,1K,R0603,65.532mm,C21190,仓库料
R41,TOP,10mohm,R1206,84.455mm,C46961737,仓库料
R42,TOP,82K,R0603,65.532mm,C23254,仓库料
R43,TOP,0,R0603,71.247mm,C15402,仓库料
R44,TOP,10mohm,R1206,65.024mm,C46961737,仓库料
R45,TOP,1K,R0603,69.342mm,C21190,仓库料
R46,TOP,10K,R0603,65.405mm,C25804,仓库料
R47,TOP,10K,R0603,66.802mm,C25804,仓库料
R48,TOP,10K,R0603,40.132mm,C25804,仓库料
R49,TOP,10K,R0603,30.734mm,C25804,仓库料
R50,TOP,10K,R0603,53.848mm,C25804,仓库料
R51,TOP,10K,R0603,39.751mm,C25804,仓库料
R52,TOP,10K,R0603,33.655mm,C25804,仓库料
R53,TOP,10K,R0603,77.851mm,C25804,仓库料
R54,TOP,10K,R0603,4.699mm,C25804,仓库料
SW1,TOP,Key_SMD_3x4x2,Key_SMD_3x4x2,85.471mm,C36498961,仓库料
SW2,TOP,Key_SMD_3x4x2,Key_SMD_3x4x2,85.445mm,C36498961,仓库料
SW3,TOP,3JWD-DBHD-13.5 125,SW-TH_SHOU-HAN_3JWD-DBHD-13.5,37.338mm,,不贴(DNP/插件)
SW4,TOP,3JWD-DBHD-13.5 125,SW-TH_SHOU-HAN_3JWD-DBHD-13.5,72.009mm,,不贴(DNP/插件)
SW5,TOP,3JWD-DBHD-13.5 125,SW-TH_SHOU-HAN_3JWD-DBHD-13.5,85.979mm,,不贴(DNP/插件)
SW6,TOP,3JWD-DBHD-13.5 125,SW-TH_SHOU-HAN_3JWD-DBHD-13.5,69.596mm,,不贴(DNP/插件)
SW7,TOP,Key_SMD_3x4x2,Key_SMD_3x4x2,11.303mm,C36498961,仓库料
SW8,TOP,3JWD-DBHD-13.5 125,SW-TH_SHOU-HAN_3JWD-DBHD-13.5,82.296mm,,不贴(DNP/插件)
SW9,TOP,3JWD-DBHD-13.5 125,SW-TH_SHOU-HAN_3JWD-DBHD-13.5,33.528mm,,不贴(DNP/插件)
SW10,TOP,3JWD-DBHD-13.5 125,SW-TH_SHOU-HAN_3JWD-DBHD-13.5,44.323mm,,不贴(DNP/插件)
SW11,TOP,3JWD-DBHD-13.5 125,SW-TH_SHOU-HAN_3JWD-DBHD-13.5,54.991mm,,不贴(DNP/插件)
SW12,TOP,3JWD-DBHD-13.5 125,SW-TH_SHOU-HAN_3JWD-DBHD-13.5,44.577mm,,不贴(DNP/插件)
SW13,TOP,3JWD-DBHD-13.5 125,SW-TH_SHOU-HAN_3JWD-DBHD-13.5,31.496mm,,不贴(DNP/插件)
U1,TOP,RP2350B,QFN-80_L10.0-W10.0-P0.40-TL-EP3.4,35.306mm,C42415655,仓库料
U2,TOP,W25Q128JVSIQ,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,54.991mm,C113767,仓库料
U3,TOP,APS6404L-3SQR-SN,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,54.991mm,C5333729,仓库料
U4,TOP,DRV8316CRRGFR,VQFN-40_L7.0-W5.0-P0.50-BL-EP5.7,11.049mm,C5447274,仓库料
U5,BOTTOM,AS5600-ASOT,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,10.922mm,C499458,仓库料
U6,TOP,NRF52840-QIAA-R7,AQFN-73_L7.0-W7.0-P0.50-BL-EP4.8,66mm,C1851953,仓库料
U7,TOP,IR908-7C-F,LED-TH_L4.5-W2.25-P2.54-FD,19.812mm,,不贴(DNP/插件)
U8,TOP,IP5330,QFN-32_L5.0-W5.0-P0.50-TL-EP3.4,73.406mm,C669698,客供料
U9,BOTTOM,"74HC165PW,118",TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,68.072mm,C80696,仓库料
U10,BOTTOM,"74HC165PW,118",TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,58.928mm,C80696,仓库料
USB1,TOP,USB_TYPE-C-16P,USB_TYPE-C-16P,57.404mm,C2765186,仓库料
X1,TOP,12MHz,CRYSTAL-SMD_4P-L3.2-W2.5-BL,24.765mm,C9002,仓库料
X2,TOP,32.768kHz 7pf,FC-135R_L3.2-W1.5,58.674mm,C94674,仓库料
X3,TOP,32MHz,CRYSTAL-SMD_4P-L3.2-W2.5-BL,70mm,C9009,仓库料
