No.,位号,Comment,Value,Footprint,立创编码,匹配物料名,来源,匹配状态,数量,所在面
1,"C1,C2",15pF,15pF,C0603,C91703,0603 贴片电容 15pF ±5% 50V,仓库料,已匹配,2,正面
2,"C3,C5,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C36,C45,C53,C59,C60,C73,C74,C77",100nF,100nF,C0603,C14663,0603 贴片电容 100nF ±10% 50V,仓库料,已匹配,21,双面
3,"C6,C7,C19,C20,C21,C22,C23,C24,C25,C71",10uF,10uF,C0603,C19702,0603 贴片电容 10uF ±10% 10V,仓库料,已匹配,10,正面
4,"C26,C32",0.1uF,0.1uF,C0603,C14663,0603 贴片电容 100nF ±10% 50V,仓库料,已匹配,2,正面
5,"C27,C29,C37,C46,C47,C78,C79",1uF,1uF,C0603,C59782,0603 贴片电容 1uF ±10% 16V,仓库料,已匹配,7,双面
6,"C28,C48,C72,C75",47nF,47nF,C0603,C1622,0603 贴片电容 47nF ±10% 50V,仓库料,已匹配,4,正面
7,"C30,C67,C68,C69",22uF,22uF,C0603,C59461,0603 贴片电容 22uF ±20% 6.3V,仓库料,已匹配,4,正面
8,"C33,C34,C35",22pF,22pF,C0603,C1653,0603 贴片电容 22pF 50V,仓库料,已匹配,3,背面
9,"C43,C44,C51,C52",12pF,12pF,C0603,C38523,0603 贴片电容 12pF 50V,仓库料,已匹配,4,正面
11,C50,100pF,100pF,C0603,C1635,0603 贴片电容 100pF ±5% 50V,仓库料,已匹配,1,正面
12,C55,0.8pF,0.8pF,C0603,C519369,0603 贴片电容 0.8pF 50V,仓库料,已匹配,1,正面
13,C56,0.5pF,0.5pF,C0603,C5137584,0603 贴片电容 0.5pF 50V,仓库料,已匹配,1,正面
14,"C61,C62,C63,C64",4.7uF,4.7uF,C0603,C99229,0603 贴片电容 4.7uF ±10% 16V,仓库料,已匹配,4,正面
15,C76,2.2uF,2.2uF,C0603,C913904,0603 贴片电容 2.2uF ±10% 50V,仓库料,已匹配,1,正面
17,D1,SMAJ5.0CA,None,SMA_L4.3-W2.6-LS5.0-BI,C19077524,SMAJ5.0CA,仓库料,已匹配,1,正面
22,L1,3.3uH,3.3uH,L0603,C574026,0603 贴片电感 3.3uH,仓库料,已匹配,1,正面
23,"L2,L4",10uH,10uH,L0603,C395000,0603 贴片电感 10uH,仓库料,已匹配,2,正面
24,L3,15nH,15nH,L0603,C23651,0603 贴片电感 15nH,仓库料,已匹配,1,正面
25,L6,0Ω,0Ω,L0603,C15402,0603 贴片电阻 0Ω ±5%,仓库料,已匹配,1,正面
26,L7,RFECA3216060A1T,None,ANT-SMD_L3.1-W1.6,C127620,RFECA3216060A1T,仓库料,已匹配,1,正面
27,L8,1uH,1uH,L0603,C22037,0603 贴片电感 1uH,仓库料,已匹配,1,正面
28,LDO1,ME6211C33M5G-N,None,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,C82942,ME6211C33M5G-N,仓库料,已匹配,1,正面
30,Q1,AO3401A_P,None,AO3401A_SOT-23-3,C15127,AO3401A,仓库料,已匹配,1,正面
31,R1,200R,200R,R0603,C2907010,0603 贴片电阻 200Ω ±1%,仓库料,已匹配,1,正面
32,"R2,R7,R8",27R,27R,R0603,C48391806,0603 贴片电阻 27Ω ±1%,仓库料,已匹配,3,正面
33,"R3,R4,R5,R6,R40,R45",1K,1K,R0603,C21190,0603 贴片电阻 1kΩ ±1%,仓库料,已匹配,6,正面
